instance,family,n,alpha,phase,tier,obj,ub,gap_pct,seeds,phase_rt,cumul_rt,event
EB_n130_016_a25_046,EB,130,0.25,1,0,2237.0,2242,0.22301516503122212,1,90.0587891000323,90.05883760005236,OBJ+12 tier->0
EB_n130_016_a25_046,EB,130,0.25,2,1,2237.0,2242,0.22301516503122212,1,90.8939922999125,180.95286120008677,STALL→tier0→1 d_max=10
EB_n130_016_a25_046,EB,130,0.25,3,2,2237.0,2242,0.22301516503122212,1,92.14150130003691,303.8135577000212,STALL→tier1→2 d_max=13
EB_n130_016_a25_046,EB,130,0.25,4,3,2237.0,2242,0.22301516503122212,1,92.63623000006191,427.71358079998754,TIERS_EXHAUSTED
D_n080_045_a25_133,D,80,0.25,1,0,1811.0,1923,5.824232969318772,1,90.67844950011931,90.67850370006636,OBJ+11 tier->0
D_n080_045_a25_133,D,80,0.25,2,0,1883.0,1923,2.080083203328133,1,91.26822680002078,181.94675990007818,OBJ+72 tier->0
D_n080_045_a25_133,D,80,0.25,3,1,1883.0,1923,2.080083203328133,1,100.61421740008518,282.56101200007834,STALL→tier0→1 d_max=9
D_n080_045_a25_133,D,80,0.25,4,2,1883.0,1923,2.080083203328133,1,94.148091299925,407.22405530000106,STALL→tier1→2 d_max=12
D_n080_045_a25_133,D,80,0.25,5,3,1883.0,1923,2.080083203328133,1,90.75177410012111,528.7561086001806,TIERS_EXHAUSTED
ED_n080_045_a25_133,ED,80,0.25,1,0,1359.0,1687,19.442797866034383,1,90.29693620000035,90.29695410002023,OBJ+2 tier->0
ED_n080_045_a25_133,ED,80,0.25,2,0,1468.0,1687,12.981624184943689,1,90.73067319998518,181.02765149995685,OBJ+109 tier->0
ED_n080_045_a25_133,ED,80,0.25,3,0,1679.0,1687,0.4742145820983995,1,92.01984059996903,273.0475163999945,OBJ+211 tier->0
ED_n080_045_a25_133,ED,80,0.25,4,1,1679.0,1687,0.4742145820983995,1,90.51747560012154,363.5650233000051,STALL→tier0→1 d_max=8
ED_n080_045_a25_133,ED,80,0.25,5,0,1680.0,1687,0.4149377593360996,1,102.10691930004396,496.77909600012936,OBJ+1 tier->0
ED_n080_045_a25_133,ED,80,0.25,6,1,1680.0,1687,0.4149377593360996,1,100.79541729995981,597.5745652001351,STALL→tier0→1 d_max=8
ED_n080_045_a25_133,ED,80,0.25,7,2,1680.0,1687,0.4149377593360996,1,104.0051845998969,727.964543200098,STALL→tier1→2 d_max=11
ED_n080_045_a25_133,ED,80,0.25,8,3,1680.0,1687,0.4149377593360996,1,90.2356161000207,849.3690049001016,TIERS_EXHAUSTED
B_n130_016_a25_046,B,130,0.25,1,0,2744.0,2799,1.9649874955341193,1,90.89960070000961,90.89964620000683,OBJ+24 tier->0
B_n130_016_a25_046,B,130,0.25,2,1,2744.0,2799,1.9649874955341193,1,90.22534570004791,181.12503400002606,STALL→tier0→1 d_max=13
B_n130_016_a25_046,B,130,0.25,3,2,2744.0,2799,1.9649874955341193,1,90.8102337999735,302.558056200156,STALL→tier1→2 d_max=17
B_n130_016_a25_046,B,130,0.25,4,3,2744.0,2799,1.9649874955341193,1,92.18269909988157,425.5356916000601,TIERS_EXHAUSTED
EB_n100_001_a50_002,EB,100,0.5,1,0,2821.0,2824,0.10623229461756376,1,90.12248660018668,90.12252940004691,OBJ+1 tier->0
EB_n100_001_a50_002,EB,100,0.5,2,0,2822.0,2824,0.0708215297450425,1,91.21788150002249,181.3404449999798,OBJ+1 tier->0
D_n080_045_a50_134,D,80,0.5,1,0,2739.0,2771,1.154817755322988,1,91.25446319999173,91.25450269994326,OBJ+12 tier->0
D_n080_045_a50_134,D,80,0.5,2,0,2740.0,2771,1.1187297004691448,1,99.74899109988473,191.00352140003815,OBJ+1 tier->0
D_n080_045_a50_134,D,80,0.5,3,1,2740.0,2771,1.1187297004691448,1,120.2225550999865,311.2261037998833,STALL→tier0→1 d_max=14
D_n080_045_a50_134,D,80,0.5,4,0,2746.0,2771,0.9022013713460845,1,95.44144940003753,437.8262638999149,OBJ+6 tier->0
D_n080_045_a50_134,D,80,0.5,5,0,2748.0,2771,0.8300252616383976,1,96.987737899879,534.8140517999418,OBJ+2 tier->0
D_n080_045_a50_134,D,80,0.5,6,1,2748.0,2771,0.8300252616383976,1,107.42568810004741,642.2397761999164,STALL→tier0→1 d_max=14
D_n080_045_a50_134,D,80,0.5,7,2,2748.0,2771,0.8300252616383976,1,104.14807080011815,762.5934488000348,STALL→tier1→2 d_max=19
D_n080_045_a50_134,D,80,0.5,8,3,2748.0,2771,0.8300252616383976,1,113.1184634999372,894.5671607998665,TIERS_EXHAUSTED
