instance,family,n,alpha,phase,tier,obj,ub,gap_pct,seeds,phase_rt,cumul_rt,event
EB_n130_016_a25_046,EB,130,0.25,1,0,2237.0,2242,0.22301516503122212,1,90.18950759992003,90.18954379996285,OBJ+12 tier->0
EB_n130_016_a25_046,EB,130,0.25,2,1,2237.0,2299,2.6968247063940844,1,91.53175930003636,181.72133369999938,STALL→tier0→1 d_max=10
EB_n130_016_a25_046,EB,130,0.25,3,2,2237.0,2267,1.3233348037053374,1,90.03018649993464,302.8806962999515,STALL→tier1→2 d_max=13
EB_n130_016_a25_046,EB,130,0.25,4,3,2237.0,2257,0.8861320336730172,1,95.27923669992015,428.8472772000823,TIERS_EXHAUSTED
D_n080_045_a25_133,D,80,0.25,1,0,1811.0,1923,5.824232969318772,1,93.92008459987119,93.92013280000538,OBJ+11 tier->0
D_n080_045_a25_133,D,80,0.25,2,0,1883.0,1923,2.080083203328133,1,97.75454290001653,191.67470679990947,OBJ+72 tier->0
D_n080_045_a25_133,D,80,0.25,3,1,1883.0,1971,4.4647387113140535,1,99.6239838001784,291.29873230005614,STALL→tier0→1 d_max=9
D_n080_045_a25_133,D,80,0.25,4,2,1883.0,1947,3.2871083718541345,1,90.48936540004797,409.8142768999096,STALL→tier1→2 d_max=12
D_n080_045_a25_133,D,80,0.25,5,3,1883.0,1941,2.988150437918599,1,92.6970566001255,533.299494399922,TIERS_EXHAUSTED
ED_n080_045_a25_133,ED,80,0.25,1,0,1359.0,1687,19.442797866034383,1,94.56293009989895,94.56295179994777,OBJ+2 tier->0
ED_n080_045_a25_133,ED,80,0.25,2,0,1468.0,1687,12.981624184943689,1,94.54805339989252,189.11103569995612,OBJ+109 tier->0
ED_n080_045_a25_133,ED,80,0.25,3,0,1679.0,1687,0.4742145820983995,1,95.30545310000889,284.41654100012966,OBJ+211 tier->0
ED_n080_045_a25_133,ED,80,0.25,4,1,1679.0,1739,3.4502587694077054,1,91.38938549999148,375.80595310009085,STALL→tier0→1 d_max=8
ED_n080_045_a25_133,ED,80,0.25,5,0,1680.0,1739,3.392754456584244,1,90.6777939000167,497.7219501999207,OBJ+1 tier->0
ED_n080_045_a25_133,ED,80,0.25,6,1,1680.0,1714,1.9836639439906651,1,91.27870190003887,589.0006842000876,STALL→tier0→1 d_max=8
ED_n080_045_a25_133,ED,80,0.25,7,2,1680.0,1698,1.0600706713780919,1,91.39980000001378,711.030303100124,STALL→tier1→2 d_max=11
ED_n080_045_a25_133,ED,80,0.25,8,3,1680.0,1693,0.7678676904902539,1,91.09209190006368,833.3838647000957,TIERS_EXHAUSTED
EB_n100_001_a50_002,EB,100,0.5,1,0,2821.0,2824,0.10623229461756376,1,90.16638199985027,90.16640349989757,OBJ+1 tier->0
EB_n100_001_a50_002,EB,100,0.5,2,0,2822.0,2824,0.0708215297450425,1,90.41592810000293,180.58236659993418,OBJ+1 tier->0
B_n130_016_a25_046,B,130,0.25,1,0,2744.0,2799,1.9649874955341193,1,91.30283050006256,91.30285850004293,OBJ+24 tier->0
B_n130_016_a25_046,B,130,0.25,2,1,2744.0,2866,4.256803907885555,1,90.23694059997797,181.53982529998757,STALL→tier0→1 d_max=13
B_n130_016_a25_046,B,130,0.25,3,2,2744.0,2818,2.62597586941093,1,91.16404019994661,303.3724609001074,STALL→tier1→2 d_max=17
B_n130_016_a25_046,B,130,0.25,4,3,2744.0,2813,2.4528972627088517,1,90.75892130006105,424.76273180008866,TIERS_EXHAUSTED
D_n080_045_a50_134,D,80,0.5,1,0,2739.0,2771,1.154817755322988,1,136.42331809992902,136.4233578001149,OBJ+12 tier->0
D_n080_045_a50_134,D,80,0.5,2,0,2740.0,2771,1.1187297004691448,1,114.44889809982851,250.87232180009596,OBJ+1 tier->0
D_n080_045_a50_134,D,80,0.5,3,1,2740.0,2815,2.664298401420959,1,108.24800870008767,359.12035790015943,STALL→tier0→1 d_max=14
D_n080_045_a50_134,D,80,0.5,4,0,2746.0,2815,2.4511545293072827,1,92.56610759999603,482.0090058001224,OBJ+6 tier->0
D_n080_045_a50_134,D,80,0.5,5,0,2748.0,2815,2.380106571936057,1,92.5697701999452,574.5788134001195,OBJ+2 tier->0
D_n080_045_a50_134,D,80,0.5,6,1,2748.0,2799,1.822079314040729,1,106.10649310005829,680.685332500143,STALL→tier0→1 d_max=14
D_n080_045_a50_134,D,80,0.5,7,2,2748.0,2786,1.3639626704953338,1,90.25821259990335,785.8155970000662,STALL→tier1→2 d_max=19
D_n080_045_a50_134,D,80,0.5,8,3,2748.0,2780,1.1510791366906474,1,99.76287390012294,898.8473287001252,TIERS_EXHAUSTED
