instance,family,n,alpha,group_id,bks,master_obj,master_rt_s,master_cert_gap_pct,master_status,beta_obj,beta_ub,beta_gap_pct,beta_ec_gain,beta_phases,beta_stop_reason,beta_total_rt_s,beta_raw_ub,beta_bound_mode,beta_cut_positive_gamma,beta_cut_positive_nu,beta_num_ub_refreshes,beta_num_lag_iters,beta_no_refresh,beta_vs_master,beta_vs_bks,beta_status
EB_n150_030_a50_089,EB,150,0.5,030,,4920.0,1507.6,0.2433,,4909.0,4936,0.5470,0,3,TIERS_EXHAUSTED,376.6,4936.7515,cutlag_triple,9,5,2,300,0,-11.0,,NA
ED_n080_045_a25_133,ED,80,0.25,045,,1681.0,1511.9,0.3557,,1680.0,1696,0.9434,0,3,TIERS_EXHAUSTED,437.6,1696.3077,cutlag_triple,25,30,2,239,0,-1.0,,NA
ED_n080_045_a75_135,ED,80,0.75,045,,2933.0,1252.2,0.3059,,2924.0,2943,0.6456,0,3,TIERS_EXHAUSTED,561.5,2943.5968,cutlag_triple,5,0,0,229,0,-9.0,,NA
EC_n080_035_a50_104,EC,80,0.5,035,,2667.0,1206.0,0.4108,,2665.0,2680,0.5597,0,3,TIERS_EXHAUSTED,323.0,2680.6011,cutlag_triple,15,6,2,300,0,-2.0,,NA
D_n080_045_a25_133,D,80,0.25,045,,1910.0,1218.2,0.6760,,1883.0,1947,3.2871,0,3,TIERS_EXHAUSTED,469.3,1947.6429,cutlag_triple,18,16,1,183,0,-27.0,,NA
EB_n130_016_a25_046,EB,130,0.25,016,2237.0,2237.0,1203.5,0.2230,,2237.0,2268,1.3668,0,3,TIERS_EXHAUSTED,373.7,2275.3344,cutlag_triple,16,25,0,131,0,0.0,0.0,TIE
EC_n065_018_a50_053,EC,65,0.5,018,1883.0,1883.0,1202.1,0.2648,,1883.0,1889,0.3176,0,3,TIERS_EXHAUSTED,291.4,1889.3459,cutlag_triple,9,8,2,300,0,0.0,0.0,TIE
B_n130_016_a25_046,B,130,0.25,016,2744.0,2744.0,903.6,1.9650,,2744.0,2813,2.4529,0,3,TIERS_EXHAUSTED,375.4,2813.5594,cutlag_triple,20,33,1,221,0,0.0,0.0,TIE
EB_n100_001_a50_002,EB,100,0.5,001,2822.0,2822.0,901.6,0.0708,,2822.0,2845,0.8084,0,3,TIERS_EXHAUSTED,303.9,2845.2167,cutlag_triple,15,11,2,300,0,0.0,0.0,TIE
D_n080_045_a50_134,D,80,0.5,045,,2749.0,941.5,0.7939,,2741.0,2791,1.7915,0,3,TIERS_EXHAUSTED,589.0,2791.2409,cutlag_triple,7,0,2,273,0,-8.0,,NA
D_n060_023_a50_068,D,60,0.5,023,1767.0,1767.0,607.2,0.2259,,1759.0,1770,0.6215,0,3,TIERS_EXHAUSTED,328.2,1770.6264,cutlag_triple,13,8,3,300,0,-8.0,-8.0,GAP
ED_n080_045_a50_134,ED,80,0.5,045,,2666.0,629.6,0.2992,,2665.0,2676,0.4111,0,3,TIERS_EXHAUSTED,618.5,2676.3500,cutlag_triple,9,1,1,300,0,-1.0,,NA
EC_n080_035_a75_105,EC,80,0.75,035,,2932.0,606.7,0.0000,,2924.0,2932,0.2729,0,5,TIERS_EXHAUSTED,502.5,2932.8988,cutlag_triple,3,0,0,400,0,-8.0,,NA
B_n130_016_a50_047,B,130,0.5,016,4157.0,4156.0,606.1,0.1681,,4156.0,4184,0.6692,0,3,TIERS_EXHAUSTED,383.3,4186.7332,cutlag_triple,7,0,0,219,0,0.0,-1.0,GAP
C_n080_035_a50_104,C,80,0.5,035,,2778.0,605.8,0.1438,,2778.0,2779,0.0360,0,4,GAP<0.3%,416.3,2779.9938,cutlag_triple,9,11,2,300,0,0.0,,NA
ED_n060_023_a50_068,ED,60,0.5,023,1736.0,1736.0,603.8,0.1725,,1727.0,1739,0.6901,0,3,TIERS_EXHAUSTED,316.0,1739.5453,cutlag_triple,9,12,0,300,0,-9.0,-9.0,GAP
B_n150_030_a50_089,B,150,0.5,030,,4973.0,605.9,0.1406,,4965.0,4977,0.2411,0,6,TIERS_EXHAUSTED,672.5,4977.2926,cutlag_triple,12,3,3,500,0,-8.0,,NA
